city,total_accidents,casualty,severe,light,property_damage
Ashdod,407.25,2.5,16.92,188.83,199.0
Modi'in-Makkabbim-Re'ut,136.75,0.25,3.08,40.25,93.17
Bet Shemesh,39.25,0.33,3.5,16.92,18.5
Jerusalem,833.17,4.67,67.17,446.5,314.83
Haifa,561.33,5.67,44.08,308.33,203.25
Tel Aviv - Yafo,2386.08,12.92,136.08,1061.0,1176.08
Bene Beraq,302.17,1.33,18.67,137.58,144.58
Bat Yam,367.42,2.25,18.33,177.5,169.33
Herzliyya,191.25,1.33,9.33,82.67,97.92
Hadera,211.58,1.08,10.75,108.67,91.08
Holon,548.58,2.17,21.17,248.92,276.33
Kefar Sava,162.33,0.75,4.83,83.5,73.25
Lod,109.0,0.75,6.0,33.08,69.17
Ashqelon,292.33,1.92,10.58,104.25,175.58
Netanya,346.17,2.58,13.5,157.42,172.67
Petah Tiqwa,553.25,4.42,22.5,251.92,274.42
Rishon LeZiyyon,668.17,2.5,19.83,186.75,459.08
Rehovot,262.25,1.92,7.58,113.08,139.67
Ramat Gan,420.0,2.42,25.0,177.83,214.75
Be'er Sheva,409.17,2.17,14.67,236.5,155.83
