city,total_accidents,casualty,severe,light
Newham,809.75,3.58,81.58,724.58
Croydon,926.33,6.08,90.08,830.17
Ealing,944.17,5.08,94.5,844.58
Barnet,1035.67,7.25,110.08,918.33
Liverpool,1151.17,9.33,192.42,949.42
Manchester,1152.0,11.17,148.67,992.17
Cheshire East,916.18,14.91,164.91,736.36
Cheshire West and Chester,779.0,10.91,135.27,632.82
County Durham,935.73,17.91,153.82,764.0
Bradford,1233.67,11.5,174.92,1047.25
Kirklees,898.67,8.58,129.58,760.5
Leeds,1889.83,17.58,282.25,1590.0
Wakefield,692.58,10.33,115.92,566.33
Sheffield,1182.67,10.17,187.33,985.17
Birmingham,2765.5,22.67,375.75,2367.08
Coventry,643.75,6.33,99.83,537.58
Leicester,874.42,4.33,85.42,784.67
Cornwall,1250.73,20.36,190.0,1040.36
"Bristol, City of",1014.92,7.83,103.67,903.42
Wiltshire,982.55,21.91,175.55,785.09
